seq,red_raw,ir_raw,red_fir,ir_fir
23298,-40875,-24984,-17674.433560,-10764.397531
23299,-40871,-24980,-17655.684586,37.017067
23300,-40866,-24978,-17641.887413,-10738.812718
23301,-40861,-24980,-17633.442049,-10731.606087
23302,-40854,-24974,-17630.334851,58.506451
23303,-40848,-24972,-17632.162160,-10729.019389
23304,-40847,-24971,-17638.191948,-10733.021697
23305,-40842,-24968,-17647.448157,47.157251
23306,-40846,-24975,-17658.811529,-10748.400278
23307,-40850,-24974,-17671.128135,-10758.114082
23308,-40849,-24971,-17683.306681,18.863095
23309,-40850,-24977,-17694.401582,-10777.421560
23310,-40854,-24975,-17703.676757,-10785.622604
23311,-40853,-24973,-17710.641351,-5.285352
23312,-40856,-24984,-17715.061200,-10796.861605
23313,-40863,-24984,-17716.949246,-10799.556465
23314,-40866,-24990,-17716.535411,-13.465266
23315,-40867,-25000,-17714.222292,-10799.545557
23316,-40874,-24997,-17710.534020,-10797.429121
23317,-40875,-24996,-17706.060015,-7.534665
23318,-40877,-25006,-17701.398274,-10791.027639
23319,-40879,-25001,-17697.106094,-10787.629652
23320,-40880,-25001,-17693.655381,2.263563
23321,-40881,-25011,-17691.398469,-10782.389905
23322,-40880,-25000,-17690.548490,-10781.106123
23323,-40881,-25000,-17691.171035,5.985724
23324,-40883,-25011,-17693.190556,-10781.856703
23325,-40887,-25007,-17696.411735,-10783.843809
23326,-40889,-25010,-17700.553000,0.176232
23327,-40884,-25019,-17705.289837,-10790.309429
23328,-40882,-25013,-17710.301469,-10794.357311
23329,-40873,-25006,-17715.319730,-11.754146
23330,-40854,-25005,-17720.168683,-10803.049255
23331,-40833,-24983,-17724.792079,-10807.428334
23332,-40803,-24961,-17729.264030,-24.879667
23333,-40766,-24942,-17733.776505,-10816.196092
23334,-40736,-24915,-17738.605823,-10820.806688
23335,-40704,-24890,-17744.062451,-38.900045
23336,-40671,-24873,-17750.426755,-10831.382978
23337,-40654,-24854,-17757.878406,-10837.678792
23338,-40639,-24840,-17766.435933,-57.831802
23339,-40631,-24838,-17775.908221,-10852.467692
23340,-40631,-24835,-17785.871815,-10860.614809
23341,-40629,-24831,-17795.679714,-81.853173
23342,-40626,-24835,-17804.501611,-10876.333844
23343,-40631,-24836,-17811.394216,-10882.668527
23344,-40634,-24839,-17815.396753,-100.146684
23345,-40632,-24841,-17815.638018,-10888.813291
23346,-40638,-24841,-17811.443174,-10887.395719
23347,-40645,-24840,-17802.427861,-95.532958
23348,-40647,-24847,-17788.566625,-10873.834091
23349,-40654,-24856,-17770.223188,-10861.759821
23350,-40653,-24856,-17748.142299,-59.780680
23351,-40650,-24854,-17723.399207,-10829.349090
23352,-40650,-24859,-17697.312338,-10810.688098
23353,-40645,-24855,-17671.331440,-4.866854
23354,-40634,-24847,-17646.910651,-10773.705490
23355,-40628,-24844,-17625.380607,-10757.522555
23356,-40619,-24833,-17607.836685,42.799014
23357,-40608,-24828,-17595.052484,-10734.114124
23358,-40598,-24826,-17587.426895,-10727.924277
23359,-40588,-24820,-17584.969082,61.280292
23360,-40579,-24813,-17587.321377,-10727.023886
23361,-40575,-24815,-17593.812308,-10731.676789
23362,-40570,-24809,-17603.536068,47.951263
23363,-40568,-24808,-17615.445160,-10748.106207
23364,-40573,-24814,-17628.446652,-10758.331777
23365,-40575,-24814,-17641.493685,18.051786
23366,-40577,-24816,-17653.663466,-10778.976131
23367,-40582,-24822,-17664.214900,-10788.124972
23368,-40580,-24819,-17672.626963,-8.976531
23369,-40582,-24821,-17678.613981,-10801.993667
23370,-40584,-24827,-17682.120675,-10806.365276
23371,-40583,-24834,-17683.301507,-22.145358
23372,-40589,-24835,-17682.484880,-10810.228926
23373,-40591,-24842,-17680.129928,-10810.169637
23374,-40591,-24841,-17676.777364,-22.303249
23375,-40594,-24842,-17672.998456,-10807.714013
23376,-40598,-24845,-17669.345023,-10806.052371
23377,-40598,-24843,-17666.305354,-17.660221
23378,-40599,-24847,-17664.266200,-10803.544727
23379,-40600,-24855,-17663.485244,-10803.205878
23380,-40602,-24857,-17664.076877,-16.776326
23381,-40604,-24855,-17666.011058,-10805.014589
23382,-40602,-24855,-17669.127657,-10807.152889
23383,-40590,-24850,-17673.165846,-23.063149
23384,-40576,-24837,-17677.803082,-10813.277010
23385,-40546,-24821,-17682.702307,-10816.859114
23386,-40514,-24797,-17687.560575,-33.592904
23387,-40483,-24772,-17692.151719,-10824.013234
23388,-40450,-24755,-17696.359087,-10827.278823
23389,-40418,-24733,-17700.190848,-43.346541
23390,-40398,-24712,-17703.772918,-10832.977680
23391,-40381,-24701,-17707.322558,-10835.574289
23392,-40368,-24689,-17711.103980,-51.310478
23393,-40366,-24683,-17715.367125,-10841.095309
23394,-40362,-24684,-17720.284990,-10844.373794
23395,-40362,-24686,-17725.893795,-61.234617
23396,-40369,-24688,-17732.046129,-10852.369640
23397,-40372,-24695,-17738.388593,-10856.890506
23398,-40373,-24699,-17744.368260,-74.474129
23399,-40377,-24700,-17749.266809,-10865.376411
23400,-40385,-24707,-17752.265408,-10868.311636
23401,-40397,-24716,-17752.532756,-82.663592
23402,-40406,-24725,-17749.321727,-10868.555985
23403,-40416,-24731,-17742.069167,-10864.773595
23404,-40423,-24735,-17730.482565,-70.988030
23405,-40428,-24744,-17714.599878,-10847.815460
23406,-40429,-24741,-17694.819325,-10834.699339
23407,-40423,-24741,-17671.888670,-32.070365
23408,-40418,-24739,-17646.854904,-10801.325445
23409,-40416,-24731,-17620.981944,-10782.622088
23410,-40410,-24730,-17595.642689,23.043437
23411,-40405,-24733,-17572.194888,-10746.075083
23412,-40402,-24725,-17551.859971,-10730.224796
23413,-40398,-24723,-17535.613393,69.782920
23414,-40393,-24725,-17524.099769,-10707.354751
23415,-40398,-24717,-17517.581539,-10701.228591
23416,-40395,-24722,-17515.927513,88.151150
23417,-40395,-24729,-17518.635445,-10699.654729
23418,-40403,-24724,-17524.893703,-10703.398912
23419,-40405,-24729,-17533.667530,77.639031
23420,-40405,-24733,-17543.801512,-10716.424368
23421,-40415,-24732,-17554.130229,-10724.005790
23422,-40415,-24735,-17563.583657,55.708230
23423,-40416,-24742,-17571.274532,-10737.307598
23424,-40427,-24736,-17576.565984,-10741.820717
23425,-40431,-24746,-17579.109609,42.474089
23426,-40433,-24756,-17578.853660,-10745.054953
23427,-40443,-24753,-17576.021987,-10743.812371
23428,-40449,-24755,-17571.067707,45.903620
23429,-40451,-24762,-17564.608290,-10737.050299
23430,-40457,-24758,-17557.348978,-10732.455463
23431,-40460,-24764,-17550.003487,59.173742
23432,-40461,-24770,-17543.220130,-10723.354570
23433,-40465,-24766,-17537.522016,-10719.713497
23434,-40465,-24772,-17533.264493,69.821672
23435,-40468,-24776,-17530.617048,-10715.610947
23436,-40472,-24775,-17529.568792,-10715.309294
23437,-40476,-24780,-17529.954150,70.822194
23438,-40482,-24786,-17531.497905,-10717.755778
23439,-40480,-24785,-17533.874151,-10720.104432
23440,-40476,-24786,-17536.761362,64.000316
23441,-40470,-24788,-17539.897666,-10725.968484
23442,-40456,-24775,-17543.121553,-10729.167222
23443,-40433,-24760,-17546.391228,54.450078
23444,-40401,-24741,-17549.781949,-10735.867495
23445,-40363,-24714,-17553.460380,-10739.500576
23446,-40329,-24685,-17557.635699,43.418914
23447,-40298,-24662,-17562.499993,-10747.951387
23448,-40274,-24644,-17568.163064,-10752.965787
23449,-40255,-24629,-17574.591965,28.397578
23450,-40241,-24617,-17581.567936,-10764.429378
23451,-40234,-24614,-17588.666804,-10770.434806
23452,-40239,-24607,-17595.269944,10.814498
23453,-40243,-24607,-17600.607959,-10780.851338
23454,-40241,-24608,-17603.832105,-10784.100363
23455,-40246,-24612,-17604.105234,1.685013
23456,-40251,-24616,-17600.704257,-10783.665081
23457,-40253,-24620,-17593.120276,-10779.027246
