seq,red_raw,ir_raw,red_fir,ir_fir
752,-465593,-465654,-201467.125000,-201494.968750
753,-465574,-465660,-280.545859,-277.597969
754,-465579,-465655,-201455.015625,-201482.953125
755,-465589,-465649,-201448.359375,-201476.578125
756,-465568,-465652,-260.936484,-258.754219
757,-465574,-465644,-201435.468750,-201464.890625
758,-465581,-465637,-201429.843750,-201460.000000
759,-465563,-465644,-244.311484,-244.394844
760,-465566,-465636,-201421.343750,-201453.015625
761,-465571,-465631,-201418.281250,-201450.843750
762,-465554,-465635,-235.498984,-237.629219
763,-465558,-465628,-201414.968750,-201448.265625
764,-465566,-465619,-201414.031250,-201447.656250
765,-465548,-465630,-232.530234,-235.301094
766,-465553,-465621,-201412.828125,-201446.171875
767,-465560,-465617,-201412.281250,-201445.203125
768,-465540,-465622,-230.498984,-232.238594
769,-465547,-465615,-201410.093750,-201442.125000
770,-465555,-465608,-201408.609375,-201439.968750
771,-465537,-465617,-225.639609,-225.644844
772,-465544,-465610,-201404.015625,-201434.375000
773,-465551,-465605,-201401.406250,-201431.203125
774,-465533,-465613,-217.420859,-216.113594
775,-465539,-465606,-201394.984375,-201424.187500
776,-465545,-465598,-201391.578125,-201420.515625
777,-465530,-465608,-207.373984,-205.004219
778,-465538,-465604,-201384.718750,-201412.875000
779,-465548,-465601,-201381.234375,-201409.250000
780,-465532,-465611,-197.077109,-193.972969
781,-465538,-465608,-201374.812500,-201402.234375
782,-465543,-465602,-201371.718750,-201399.093750
783,-465529,-465613,-188.186484,-184.722969
784,-465539,-465607,-201366.437500,-201393.875000
785,-465546,-465603,-201364.156250,-201391.968750
786,-465530,-465612,-181.467734,-178.926094
787,-465538,-465607,-201360.984375,-201389.750000
788,-465545,-465603,-201359.781250,-201389.453125
789,-465529,-465614,-178.420859,-177.816719
790,-465537,-465610,-201359.125000,-201390.140625
791,-465544,-465605,-201359.359375,-201391.078125
792,-465530,-465616,-179.311484,-180.722969
793,-465539,-465610,-201361.281250,-201393.921875
794,-465541,-465603,-201362.687500,-201395.687500
795,-465526,-465611,-183.592734,-185.707344
796,-465529,-465606,-201366.203125,-201399.140625
797,-465530,-465598,-201368.156250,-201400.765625
798,-465509,-465598,-189.202109,-190.738594
799,-465507,-465581,-201371.640625,-201403.906250
